('32807846', '50304345'): 0.58
('32807846', '6498706'): 0.58
('32807846', '91262474'): 0.58
('32807846', '50091196'): 0.58
('32807846', '81471108'): 0.58
('32807846', '58577036'): 0.58
('32807846', '81566151'): 0.58
('53334471', '32807846'): 0.58
('32807846', '94073244'): 0.58
('32807846', '9748752'): 0.58
('32807846', '39238953'): 0.58
('32807846', '95992081'): 0.58
('32807846', '66023650'): 0.58
('32807846', '45170821'): 0.57
('32807846', '4591250'): 0.57
('32807846', '97692972'): 0.57
('32807846', '61127349'): 0.57
('32807846', '27970830'): 0.57
('32807846', '74393852'): 0.57
('32807846', '49036338'): 0.57
('32807846', '41620959'): 0.57
('32807846', '48996569'): 0.57
('32807846', '79856792'): 0.57
('32807846', '93946239'): 0.57
('32807846', '60082869'): 0.57
('32807846', '86784733'): 0.57
('32807846', '99745551'): 0.57
('32807846', '64276752'): 0.57
('32807846', '29284413'): 0.57
('32807846', '47084486'): 0.57
('32807846', '44146295'): 0.57
('60242223', '32807846'): 0.56
('32807846', '92067220'): 0.56
('32807846', '57314798'): 0.56
('32807846', '691925'): 0.56
('32807846', '44362883'): 0.56
('32807846', '16195942'): 0.56
('32807846', '54191698'): 0.56
('32807846', '29401950'): 0.56
('32807846', '53404966'): 0.56
('32807846', '99674361'): 0.56
('32807846', '48505422'): 0.56
('32807846', '19642774'): 0.56
('32807846', '93347961'): 0.56
('32807846', '22093873'): 0.56
('32807846', '36205132'): 0.56
('32807846', '94886282'): 0.56
('32807846', '11110587'): 0.56
('32807846', '56570271'): 0.56
('32807846', '97024987'): 0.56
('32807846', '18963306'): 0.56
('32807846', '61466310'): 0.56
('32807846', '40941889'): 0.56
('32807846', '286392'): 0.56
('32807846', '55168550'): 0.56
('32807846', '10604644'): 0.56
('32807846', '65192027'): 0.56
('32807846', '81945678'): 0.56
('32807846', '91646304'): 0.55
('32807846', '90050480'): 0.55
('32807846', '91405870'): 0.55
('32807846', '90590304'): 0.55
('32807846', '86188410'): 0.55
('32807846', '98978921'): 0.55
('32807846', '5560911'): 0.55
('32807846', '64788463'): 0.55
('32807846', '35255456'): 0.55
('32807846', '9940036'): 0.55
('32807846', '77558536'): 0.55
('32807846', '2530830'): 0.55
('32807846', '28985331'): 0.55
('32807846', '22125101'): 0.55
('32807846', '87746184'): 0.55
('32807846', '75500286'): 0.55
('32807846', '53493204'): 0.55
('32807846', '69394324'): 0.55
('32807846', '15327215'): 0.55
('32807846', '91691605'): 0.55
('32807846', '96802306'): 0.55
('32807846', '44686185'): 0.55
